question,ground_truth,answer,contexts
How many home runs did Mays hit in one game in Milwaukee in 1961?,Mays hit four home runs in one game in Milwaukee in 1961.,Mays hit four home runs in one game in Milwaukee in 1961.,"[{'document': 'One night in Milwaukee in 1961, Mays hit four home runs in one game.', 'metadata': {'author': 'Tim Kurkjian', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET', 'country': 'us', 'site': 'espn', 'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov'}}, {'document': 'In his 22-year career, Mays led the NL in home runs four times, and when he retired, his 660 home runs ranked third in big league history; he now ranks sixth behind Bonds, Hank Aaron, Ruth, Alex Rodriguez and Albert Pujols. He also finished his career with 3,283 hits (12th all time) and 1,903 RBIs (12th all time).', 'metadata': {'author': 'ESPN News Services', 'content_publish_date': 'Jun 18, 2024, 09:03 PM ET', 'country': 'us', 'site': 'espn', 'title': ""Legendary outfielder Willie Mays, 'Say Hey Kid,' dies at 93""}}, {'document': 'But the layoff from professional baseball did not affect him. Mays won the first of his two career NL MVP awards that season, leading the league in batting at .345 and hitting 41 home runs to go along with 110 RBIs. Mays won his other NL MVP in 1965.', 'metadata': {'author': 'ESPN News Services', 'content_publish_date': 'Jun 18, 2024, 09:03 PM ET', 'country': 'us', 'site': 'espn', 'title': ""Legendary outfielder Willie Mays, 'Say Hey Kid,' dies at 93""}}]"
How does having a quarterback on a rookie contract benefit a franchise?,Having a quarterback on a rookie contract benefits a franchise because it allows the team to invest in the roster around him due to the lower cost of the rookie contract.,Having a quarterback on a rookie contract benefits a franchise by allowing them to invest in the roster around him because rookies come at a cheaper cost. This financial flexibility can be crucial for building a competitive team.,"[{'document': ""On the flip side, the value of a quarterback on a rookie contract allows a franchise to invest in the roster around him because rookies come so cheap. But in this case, they pay a veteran QB price for Cousins in the first two years of Penix's contract. To make the two moves together shows a lack of vision."", 'metadata': {'author': 'Seth Walder', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET', 'country': 'us', 'site': 'espn', 'title': '2024 NFL offseason: Grading moves, changes for all 32 teams'}}, {'document': ""With one year left to go on his rookie deal and no fifth-year option available, the Cowboys found themselves in the window in which virtually every team will sign their quarterback. When they've landed on a passer they like, most organizations will ink him to a long-term extension before he enters his fourth season, allowing them to spread a significant signing bonus over the longest window possible. For quarterbacks who don't have a fifth-year option, such as Prescott with the Cowboys and Russell Wilson with the Seahawks, there's really no choice but to do the extension between Years 3 and 4. Teams are almost always loathe to have their starting quarterback enter the final year of their deal in a lame-duck situation without an extension."", 'metadata': {'author': 'Bill Barnwell', 'content_publish_date': 'Jun 19, 2024, 06:15 AM ET', 'country': 'us', 'site': 'espn', 'title': ""Dak Prescott's Cowboys future: New contract or test free agency?""}}, {'document': ""The Giants are hamstrung by their Daniel Jones contract error a year ago, when they guaranteed the quarterback $80 million with the franchise tag available. That didn't preclude them from going after another quarterback -- they tried to trade up to pick Drake Maye -- but once they failed to make that move, I think it was OK to pass on the second tier of rookie QBs."", 'metadata': {'author': 'Seth Walder', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET', 'country': 'us', 'site': 'espn', 'title': '2024 NFL offseason: Grading moves, changes for all 32 teams'}}]"
What would the Cowboys need to do if they want to move up for a quarterback in the draft?,The Cowboys would likely need to dip into their 2026 capital if they want to move up for a particular quarterback in the draft.,The Cowboys would likely need to dip into their 2026 draft capital if they want to move up for a particular quarterback in the draft.,"[{'document': ""It's too early to even project whom the Cowboys might consider looking for in next year's draft or even where their picks might land. They have each of their own picks through the first six rounds and project to land four comp picks across Round 5 and 6, but they don't have significant extra draft capital laying around if they want to move up for a particular quarterback. Dallas would likely need to dip into its 2026 capital if it wants to jump forward in 2025."", 'metadata': {'author': 'Bill Barnwell', 'content_publish_date': 'Jun 19, 2024, 06:15 AM ET', 'country': 'us', 'site': 'espn', 'title': ""Dak Prescott's Cowboys future: New contract or test free agency?""}}, {'document': ""A quarterback in the draft. Going with the least expensive option would allow the Cowboys to retain the most talent around their quarterback possible. Adding a veteran backup to take over for Lance and using a top-60 draft pick on a passer to take over would set them up with cap space, especially after Prescott's dead money falls off in 2026. It would hardly be any trouble to pay Lamb, Cooks, tight end Jake Ferguson and several offensive linemen significant money, let alone key players on the defensive side of the ball. They would have about $55 million to toss around as opposed to what they would spend annually on Prescott."", 'metadata': {'author': 'Bill Barnwell', 'content_publish_date': 'Jun 19, 2024, 06:15 AM ET', 'country': 'us', 'site': 'espn', 'title': ""Dak Prescott's Cowboys future: New contract or test free agency?""}}, {'document': ""Could we trust the Cowboys to draft the right quarterback? I'm not so sure. While they are typically a team that drafts well and made a great move to land Prescott in 2017, remember that he was no better than their third choice at quarterback that year. They wanted to take Paxton Lynch in the first round, only for the Broncos to beat them to the punch. They were about to trade up and draft Connor Cook on Day 2, but the Raiders jumped ahead of them. Neither player made an impact in the NFL. Dallas settled for Prescott, who took over for an injured Romo and never looked back."", 'metadata': {'author': 'Bill Barnwell', 'content_publish_date': 'Jun 19, 2024, 06:15 AM ET', 'country': 'us', 'site': 'espn', 'title': ""Dak Prescott's Cowboys future: New contract or test free agency?""}}]"
What is the condition for the Raptors to receive a first-round pick from Indiana in 2026?,The condition for the Raptors to receive a first-round pick from Indiana in 2026 is that it is top-four protected.,The condition for the Raptors to receive a first-round pick from Indiana in 2026 is that the pick must be outside of the top four.,"[{'document': 'The Raptors have their own first in the next seven years and a 2026 top-four-protected first from Indiana. The first is top-four protected in 2027 if not conveyed. Toronto has six second-round picks available.', 'metadata': {'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET', 'country': 'us', 'site': 'espn', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams'}}, {'document': 'The Nuggets are limited with draft assets and can move their 2024 first-rounder starting the night of the draft. From the Aaron Gordon trade, Denver will send Orlando a 2025 top-five-protected first. The pick is also top-five protected in 2026 if not conveyed. Two years after that condition is met, Denver will send Oklahoma City a top-five-protected first. The pick is top-five protected in the next two years (2028 and 2029).', 'metadata': {'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET', 'country': 'us', 'site': 'espn', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams'}}, {'document': ""New York has 10 first-round picks over the next seven years. Including the Knicks' own, they have a first in 2025 from Detroit, Milwaukee and Washington. The Pistons' first is top-13 protected in 2025, top-11 protected in 2026 and top-nine protected in 2027. The Knicks will receive the Bucks' first if it falls outside of the top four. Finally, Washington will send its first top-10 protected and top-eight protected in 2026. New York has seven seconds available."", 'metadata': {'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET', 'country': 'us', 'site': 'espn', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams'}}]"
Why were there no substantial contract offers for Kyrie Irving last offseason?,,There were no substantial contract offers for Kyrie Irving last offseason because no teams other than the Dallas Mavericks were willing to make such offers.,"[{'document': 'Remember last offseason when Kyrie Irving entered free agency and there were no teams willing to offer a substantial contract other than the Dallas Mavericks?', 'metadata': {'author': 'Bobby Marks', 'content_publish_date': 'Jun 17, 2024, 07:15 AM ET', 'country': 'us', 'site': 'espn', 'title': '2024 NBA free agency: Players to sign, contract predictions'}}, {'document': ""Irving signed a three-year, $120 million deal, and the Mavericks were ridiculed because they were considered to be bidding against themselves. Irving's contract illustrated the Mavericks' willingness to compromise and not have the All-Star feel unwanted, despite their position of leverage."", 'metadata': {'author': 'Bobby Marks', 'content_publish_date': 'Jun 17, 2024, 07:15 AM ET', 'country': 'us', 'site': 'espn', 'title': '2024 NBA free agency: Players to sign, contract predictions'}}, {'document': ""Irving's 48.2% shooting mark from the field coming into Game 5 against Minnesota was the best of his playoff career, and his 42.3% from 3 wasn't far off his best postseason showing with the Cavs. Remarkably, if the Finals go at least five games, Irving will have played as many career postseason games with the Mavericks (22) as he did in his time with the Celtics and Brooklyn Nets combined -- evidence of how well things have clicked for him with the Mavs."", 'metadata': {'author': 'NBA Insiders', 'content_publish_date': 'Jun 3, 2024, 05:39 PM ET', 'country': 'us', 'site': 'espn', 'title': '2024 NBA Finals: Big questions ahead of Mavericks-Celtics'}}]"
Why was Jurickson Profar considered one of the worst-hitting regulars in baseball last season?,Jurickson Profar was considered one of the worst-hitting regulars in baseball last season because of his performance with the Rockies (and briefly with the Padres).,Jurickson Profar was considered one of the worst-hitting regulars in baseball last season because of his performance with the Rockies and briefly with the Padres.,"[{'document': ""OK, this is a little awkward. When I ran through the NL outfielder stats, only one player stood out, and he is a huge surprise: Jurickson Profar, who was one of the worst-hitting regulars in baseball last season with the Rockies (and briefly with the Padres). This season, he's hitting over .300 and leads the NL in OBP. After that, it gets a little murky. Fernando Tatis Jr. gets the second nod; he's been fine, but nothing like his 2019-2021 numbers. I went with Teoscar Hernandez as my third starter. The reserve choices are almost nonexistent."", 'metadata': {'author': 'David Schoenfield', 'content_publish_date': 'Jun 13, 2024, 07:00 AM ET', 'country': 'us', 'site': 'espn', 'title': 'Still-too-early 2024 MLB All-Stars: AL, NL roster predictions'}}, {'document': 'Pete Rose""I felt sorry for Willie in a way having to play at that s---hole Candlestick. That was the worst place in the world to play baseball. It was always windy and cold. The sun was always in your eyes. There were 10,000, 12,000 people at every game. If he played today in the bandboxes in Cincinnati and Philadelphia and some other places, he\'d hit 70 homers a year. He wasn\'t just a power hitter. He was a good hitter. He loved to talk hitting. If he had hit behind me and [Joe] Morgan, he\'d have driven in 500 or 600 more runs.""', 'metadata': {'author': 'Tim Kurkjian', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET', 'country': 'us', 'site': 'espn', 'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov'}}, {'document': ""That brings us to Wetherholt. He might be a major league shortstop and is definitely an infielder. He's basically above average at everything ranging from the elements of hitting to all five traditional physical tools. He's devalued a bit from playing in the Big 12 (rather than the SEC or ACC) and missing half the season with a hamstring strain while also not having a conventional physical look to a No. 1 pick. For all of these reasons, he may actually cut a deal -- especially since there doesn't seem to be a path for him to go in the top five other than at this pick. And there's a whiff of Jose Ramirez to his game, rumored to be the archetype Cleveland has been using in prioritizing hit-first, up-the-middle type players for close to a decade."", 'metadata': {'author': 'Kiley McDaniel', 'content_publish_date': 'Jun 19, 2024, 07:00 AM ET', 'country': 'us', 'site': 'espn', 'title': '2024 MLB mock draft 2.0: Predicting the first two rounds'}}]"
What restrictions do the Clippers face as a second-apron team?,"The Clippers, as a second-apron team, are not allowed to send out cash in a trade, take back more money, or aggregate salaries.","As a second-apron team, the Clippers face the following restrictions: they are not allowed to send out cash in a trade, take back more money, or aggregate salaries.","[{'document': 'CBA impact: The Clippers are in the second apron until June 30. They are not allowed to send out cash in a trade, take back more money or aggregate salaries. They are a projected second-apron team if George and Harden are brought back.', 'metadata': {'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET', 'country': 'us', 'site': 'espn', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams'}}, {'document': 'Balancing the checkbook now and in the future. The Clippers have paid $377 million in tax penalties the past four seasons and are a projected second-apron team in 2024-25.', 'metadata': {'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET', 'country': 'us', 'site': 'espn', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams'}}, {'document': 'CBA impact: Because Golden State is a second-apron team until June 30, it is not allowed to send out cash, aggregate contracts or take back more money in a trade. The restrictions are lifted starting July 1 if the Warriors go below the second apron.', 'metadata': {'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET', 'country': 'us', 'site': 'espn', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams'}}]"
How many National League batting titles did Mays win?,Mays won one National League batting title.,Willie Mays won one National League batting title.,"[{'document': ""Mays hit 660 home runs, now sixth most of all time. He had 3,283 hits, 11th most ever. He won two MVPs, 11 years apart. He had a .302 average, an OPS over .900 for 13 straight years, an OPS over 1.000 in five seasons. He won a National League batting title and four home run titles. He played 14 years in Candlestick Park, a big ballpark with swirling winds; in another home ballpark, he might have hit 700 homers. If he hadn't missed nearly two prime seasons to military service, he might have hit closer to 800. His swing was short and compact. He often stepped in the bucket, but could still cover the outside part of the plate."", 'metadata': {'author': 'Tim Kurkjian', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET', 'country': 'us', 'site': 'espn', 'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov'}}, {'document': ""Mays won 12 Gold Gloves. Consider this, though: They didn't begin being awarded until 1957; he could have won 16. He had tremendous speed, incredible range and got as good a jump on the ball as anyone ever."", 'metadata': {'author': 'Tim Kurkjian', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET', 'country': 'us', 'site': 'espn', 'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov'}}, {'document': 'In his 22-year career, Mays led the NL in home runs four times, and when he retired, his 660 home runs ranked third in big league history; he now ranks sixth behind Bonds, Hank Aaron, Ruth, Alex Rodriguez and Albert Pujols. He also finished his career with 3,283 hits (12th all time) and 1,903 RBIs (12th all time).', 'metadata': {'author': 'ESPN News Services', 'content_publish_date': 'Jun 18, 2024, 09:03 PM ET', 'country': 'us', 'site': 'espn', 'title': ""Legendary outfielder Willie Mays, 'Say Hey Kid,' dies at 93""}}]"
What is Harden's contract status for the upcoming season?,Harden will be an unrestricted free agent.,Harden will be an unrestricted free agent for the upcoming season.,"[{'document': 'George has a player option on the $48.8 million due next season and can become a free agent if he and the Clippers are unable to come to an agreement on an extension before June 30. Harden will be an unrestricted free agent.', 'metadata': {'author': 'ESPN ESPN', 'content_publish_date': 'Jun 18, 2024, 09:17 PM ET', 'country': 'us', 'site': 'espn', 'title': 'NBA free agency 2024: Latest signings, news, buzz and reports'}}, {'document': 'As free agency nears, George\'s future remains the top question. George has until July 1 to agree to an extension. But Lawrence Frank, president of basketball operations, has called George and James Harden ""free agents."" The team signed Kawhi Leonard to a three-year, $150 million extension during the season, and George will likely see if he can get more. But the Clippers can\'t afford to lose George or Harden and will want to keep their star trio together to continue building around them.. -- Youngmisuk', 'metadata': {'author': 'ESPN ESPN', 'content_publish_date': 'Jun 17, 2024, 11:00 PM ET', 'country': 'us', 'site': 'espn', 'title': ""NBA Power Rankings, way-too-early edition: Our post-Finals look at all 30 teams' 2024-25""}}, {'document': 'Harden has earned $340 million in his career, and the thinking from the Clippers cannot be that the 2018 MVP does not have options. There is no reason to believe he would not sign for the $3.1 million minimum exception if it allows him compete for a title.', 'metadata': {'author': 'Bobby Marks', 'content_publish_date': 'Jun 17, 2024, 07:15 AM ET', 'country': 'us', 'site': 'espn', 'title': '2024 NBA free agency: Players to sign, contract predictions'}}]"
What was the Atlanta Hawks' 2023-24 record and result in the play-in tournament?,"The Atlanta Hawks' 2023-24 record was 36-46, and they were eliminated in the play-in tournament.",The Atlanta Hawks had a 2023-24 record of 36-46 and were eliminated in the play-in tournament.,"[{'document': '21. Atlanta Hawks2023-24 record: 36-46Result: Eliminated in play-in tournament2024 draft pick: No. 1 (own)', 'metadata': {'author': 'ESPN ESPN', 'content_publish_date': 'Jun 17, 2024, 11:00 PM ET', 'country': 'us', 'site': 'espn', 'title': ""NBA Power Rankings, way-too-early edition: Our post-Finals look at all 30 teams' 2024-25""}}, {'document': 'The 2023-24 NBA season came to an end Monday with the Boston Celtics defeating the Dallas Mavericks, 106-88, to claim their NBA-record 18th championship.', 'metadata': {'author': 'ESPN ESPN', 'content_publish_date': 'Jun 17, 2024, 11:00 PM ET', 'country': 'us', 'site': 'espn', 'title': ""NBA Power Rankings, way-too-early edition: Our post-Finals look at all 30 teams' 2024-25""}}, {'document': ""The Hawks' future, already clouded by the inability of guards Dejounte Murray and Trae Young to be as productive playing together as they are individually, was further muddied when Atlanta won the draft lottery. Now the Hawks have to make a money-saving trade to avoid paying the luxury tax for a team that finished 10 games under .500. Atlanta's decision between Murray and Young -- or perhaps bringing both back with a new cast around them -- will have an impact on aspiring contenders hoping to land either of those All-Star guards via trade. -- Pelton"", 'metadata': {'author': 'ESPN ESPN', 'content_publish_date': 'Jun 17, 2024, 11:00 PM ET', 'country': 'us', 'site': 'espn', 'title': ""NBA Power Rankings, way-too-early edition: Our post-Finals look at all 30 teams' 2024-25""}}]"
